Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-354,5/1/2018,4/30/2019,Prie Elektrėnų g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „IGNERA“,70-13-483,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-355,5/1/2018,4/30/2019,Prie Elektrėnų g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „CRAFT BEARINGS“,70-13-484,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-356,5/1/2018,4/30/2019,Prie Pramonės pr. ir Elektrėnų g. sankryžos,Naujasodis,Komercinė nuoroda: „SERFAS“,70-13-491,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-357,5/1/2018,4/30/2019,Prie Savanorių pr. ir Mituvos g. sankryžos,Kalniečiai,Komercinė nuoroda: „STORENT Technikos nuoma“,70-13-450,"1,32",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-358,5/1/2018,4/30/2019,Prie Savanorių pr. ir Mituvos g. sankryžos,Kalniečiai,Komercinė nuoroda: „DRŪTSRAIGTIS Tvirtinimo detalės“,70-13-451,"1,32",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-359,5/1/2018,4/30/2019,Prie Savanorių pr. ir Mituvos g. sankryžos,Kalniečiai,Komercinė nuoroda: „Ortopedijos priemonės ir paslaugos ORTOPAGALBA“,70-13-452,"1,32",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-360,5/1/2018,4/30/2019,Prie Savanorių pr. ir S. Žukausko g. sankryžos,Eiguliai,Komercinė nuoroda: „SANGAIDA VISKAS VIENAME PUODE S. Žukausko g. 2D“,70-13-467,"1,32",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-361,5/1/2018,4/30/2019,Prie Ateities pl. ir Palemono g. sankryžos,Palemonas,Komercinė nuoroda: „AGA  Techninių dujų centras Palemono g. 7“,70-13-457,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-362,5/1/2018,4/30/2019,Prie Ateities pl. ir Palemono g. sankryžos,Palemonas,Komercinė nuoroda: „STOGO DANGŲ PREKYBA Palemono g. 2A“,70-13-458,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-363,5/1/2018,4/30/2019,Prie Ateities pl. ir Palemono g. sankryžos,Palemonas,Komercinė nuoroda: „MAksima Palemono g. 1“,70-13-460,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-364,5/1/2018,4/30/2019,Prie Pramonės pr. ir Partizanų g. sankryžos,Dainava,Komercinė nuoroda: „Ruukki Partizanų g. 63M 450 m“,70-13-1712,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-365,5/1/2018,4/30/2019,Prie Pramonės pr. ir Partizanų g. sankryžos,Dainava,Komercinė nuoroda: „Spalvų sala STATYBINĖS MEDŽIAGOS“,70-13-1714,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-366,5/1/2018,4/30/2019,Prie Pramonės pr. ir Partizanų g. sankryžos,Dainava,Komercinė nuoroda: „KARCHER Parduotuvė DEIMENA“,70-13-1716,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-367,5/1/2018,4/30/2019,Prie Pramonės pr. ir Partizanų g. sankryžos,Dainava,Komercinė nuoroda: „FESTO Partizanų g. 129“,70-13-1717,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-368,5/1/2018,4/30/2019,Prie Europos pr. ir Veiverių g. sankryžos ((į kairę nuo miesto)),Birutė,Komercinė nuoroda: „Ratai visiems PADANGOS“,70-131707,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-369,5/1/2018,4/30/2019,Prie Europos pr. ir Veiverių g. sankryžos ((į kairę nuo miesto)),Birutė,Komercinė nuoroda: „Jūsų vizija Profesionalų reklamos paslaugos“,70-13-1709,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-370,5/1/2018,4/30/2019,Prie Europos pr. ir Veiverių g. sankryžos ((į kairę nuo miesto)),Birutė,Komercinė nuoroda: „Ruukki Skardos lankstymas“,70-13-1710,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-371,5/1/2018,4/30/2019,Prie Europos pr. ir Veiverių g. sankryžos (netoli degalinės),Birutė,Komercinė nuoroda: „Pavarų dėžių ir variklių taisymas. Aukščiausia pavara“,70-13-1552,"2,74",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-372,5/1/2018,4/30/2019,"Prie Taikos pr. 88, šalia įvažiavimo į AB „Urmas“ teritoriją",Naujasodis,"Komercinė nuoroda: „prekyba patalyne.lt Žalioji galerija, 116 vieta“",70-13-32,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-373,5/1/2018,4/30/2019,Prie Taikos pr. ir Garažų g. sankryžos (prie AB „URMAS“),Naujasodis,Komercinė nuoroda: „DIZRIDA DYZELIŲ CENTRAS“,70-13-1408,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-374,5/1/2018,4/30/2019,Prie Taikos pr. ir Garažų g. sankryžos,Naujasodis,Komercinė nuoroda: „Vimota Taikos pr. 94A 500 m“,70-13-1408,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-375,5/1/2018,4/30/2019,"Taikos pr., žalioje vejoje tarp važiuojamųjų dalių, šalia Taikos  pr. 92C („Centrinis Kauno turgus“)",Naujasodis,Komercinė nuoroda: „Arkietė Prekyba indais “,70-13-1402,"1,32",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-376,5/1/2018,4/30/2019,"Taikos pr., žalioje vejoje tarp važiuojamųjų dalių, šalia Taikos  pr. 92C („Centrinis Kauno turgus“)",Naujasodis,Komercinė nuoroda: „DIZRIDA DYZELIŲ CENTRAS“,70-13-1403,"1,32",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-377,5/1/2018,4/30/2019,Prie Taikos pr. ir Garažų g. sankryžos,Naujasodis,Komercinė nuoroda: „AUTOAKSTĖ Taikos pr. 139A“,70-13-1723,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-378,5/1/2018,4/30/2019,Prie Žemaičių pl. ir Baltijos g. sankryžos,Smėliai,Komercinė nuoroda: „Karidenta Odontologijos klinika Baltijos g. 55“,70-13-1223,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-379,5/1/2018,4/30/2019,Prie Žemaičių pl. ir Baltijos g. sankryžos,Smėliai,"Komercinė nuoroda: „Pro Dentas Odontologijos klinika Baltijos g. 42, tel. 8 620 877 66“",70-13-1225,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-380,5/1/2018,4/30/2019,"Žemaičių pl. , prie įvažiavimo link pastato Žemaičių pl. 65",Smėliai,Komercinė nuoroda: „Veterinarijos klinika Kuršių g. 7“,70-13-1432,1.37,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-381,5/1/2018,4/30/2019,"Prie Pramonės pr., prie įvažiavimo į AB „URMAS“",Naujasodis,"Komercinė nuoroda: „prekyba patalyne.lt  Žalioji galerija, 116 vieta“",70-13-463,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-382,5/1/2018,4/30/2019,Prie Jotvingių g. ir Kuršių g. sankryžos,Milikoniai,Komercinė nuoroda: „Veterinarijos klinika Kuršių g. 7“,70-13-449,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-384,5/1/2018,4/30/2019,Prie R. Kalantos g. prie įvažiavimo į Naglio g.,Petrašiūnai,Komercinė nuoroda: „MASTERMANN Naglio g. 4C “,70-13-473,"1,26",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-385,5/1/2018,4/30/2019,Prie R. Kalantos g. prie įvažiavimo į Naglio g.,Petrašiūnai,Komercinė nuoroda: „CONSOLIS BETONIKA Naglio g. 4A administracija “,70-13-475,"1,26",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-386,5/1/2018,4/30/2019,Prie Šiaurės pr. ir Sukilėlių pr. sankryžos,Eiguliai,Komercinė nuoroda: „www.amzinybessala.lt Laidojimo biuras 8 655 05 259“,70-13-577,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-387,5/1/2018,4/30/2019,Prie Veiverių g. ir Lazdijų g. sankryžos,Kazliškiai,Komercinė nuoroda: „Žalia stotelė“,70-13-1701,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-388,5/1/2018,4/30/2019,Prie Veiverių g. ir Lazdijų g. sankryžos,Kazliškiai,Komercinė nuoroda: „Finkona“,70-13-259,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-389,5/1/2018,4/30/2019,Prie Savanorių pr. ir Birželio 23-osios g. sankryžos ,Dainava,Komercinė nuoroda: „NATŪRALAUS GYDYMO CENTRAS Ortopedijos technika 2 aukštas“,70-13-331,"1,32",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-390,5/1/2018,4/30/2019,Prie Pramonės pr. ir Chemijos g. sankryžos,Naujasodis,Komercinė nuoroda: „Prekyba motociklais Paslauga.eu Chemijos g. 6A“,70-13-753,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-391,5/1/2018,4/30/2019,Prie Pramonės pr. ir Chemijos g. sankryžos,Naujasodis,Komercinė nuoroda: „Lenze “,70-13-536,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-392,5/1/2018,4/30/2019,"Partizanų g., prie įvažos link pastato Partizanų g. 81B",Dainava,Komercinė nuoroda: „Spalvų sala“,70-13-2079,"4,72",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-393,5/1/2018,4/30/2019,"Partizanų g., prie įvažos link pastato Partizanų g. 81B",Dainava,Komercinė nuoroda: „Ceresit“,70-13-2080,"4,72",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-394,5/1/2018,4/30/2019,Prie Pramonės pr. ir Draugystės g. sankryžos,Naujasodis,Komercinė nuoroda: „DABIGĖ Draugystės g. 15N“,70-13-106,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-395,5/1/2018,4/30/2019,Prie Raudonojo Kryžiaus g. ir Vaišvydavos pl. sankryžos (kairė),Vičiūnai,Komercinė nuoroda: „MEDienos gaminiai“,70-13-135,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-396,5/1/2018,4/30/2019,Prie Raudonojo Kryžiaus g. ir Vaišvydavos pl. sankryžos (dešinė),Vičiūnai,Komercinė nuoroda: „Iki“,70-13-2036,"1,37",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-397,5/1/2018,4/30/2019,Prie Ateities pl. ir Palemono g. sankryžos (antra nuoroda),Naujasodis,Komercinė nuoroda: „Automobilių dažai BRASTA“,70-13-1080,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-398,5/1/2018,4/30/2019,Prie A. Baranausko g. ir Studentų g. sankryžos,Gričiupis,Komercinė nuoroda: „Biofirst klinika Ateities medicina šiandien“,70-13-352,"2,74",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-399,5/1/2018,4/30/2019,Prie Taikos pr. ir J. Basanavičiaus al. sankryžos,Žaliakalnis,Komercinė nuoroda: „BALDAI www.inmondus.lt Savanorių pr. 214A “,70-13-535,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-400,5/1/2018,4/30/2019,"Taikos pr., netoli pastato Taikos pr. 149",Naujasodis,Komercinė nuoroda: „DAISENA Taikos pr. 161 “,70-13-502,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-401,5/1/2018,4/30/2019,Prie Savanorių pr. ir Šiaurės pr. sankryžos,Eiguliai,Komercinė nuoroda: „Ford Hyundai Mazda Mitsubishi motors Inchcape motors“,70-13-779,"4,48",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-402,5/1/2018,4/30/2019,Prie Savanorių pr. ir Šiaurės pr. sankryžos,Eiguliai,Komercinė nuoroda: „Jovaitas Automobilių dalių didmeninė prekyba Islandijos pl. 33 (2 pusės)“,70-13-706,"2,24",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-403,5/1/2018,4/30/2019,Prie Savanorių pr. ir Šiaurės pr. sankryžos,Eiguliai,Komercinė nuoroda: „dagas Starterių ir generatorių centras Islandijos pl. 131F “,70-13-996,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-404,5/1/2018,4/30/2019,Prie Savanorių pr. ir Šiaurės pr. sankryžos,Eiguliai,Komercinė nuoroda: „VISI ĮRANKIAI Islandijos pl. 91 “,70-13-752,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-405,5/1/2018,4/30/2019,Prie A. Stulginskio g. ir Linkuvos g. sankryžos,Vilijampolė,Komercinė nuoroda: „Skinija kojinių fabrikas“,70-13-1339,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-406,5/1/2018,4/30/2019,Kuršių g. ties Kuršių g. 1A (prie Žemaičių pl. tilto),Aukštieji Šančiai,Komercinė nuoroda: „AUTOFORTAS Automobilių servisas IX-ojo Forto g. 60A “,70-13-1333,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-407,5/1/2018,4/30/2019,Prie Partizanų g. ir Butrimonių g. sankryžos,Dainava,Komercinė nuoroda: „AUTIDA AUTOSERVISAS Butrimonių g. 9“,70-13-34,"2,74",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-408,5/1/2018,4/30/2019,Prie Ekskavatorininkų g. ir Energetikų g. sankryžos  (kairė),Petrašiūnai,Komercinė nuoroda: „KAUNO ŠILAS Polistireninio putplasčio gamyba“,70-13-1399,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-409,5/1/2018,4/30/2019,Prie Ekskavatorininkų g. ir Energetikų g. sankryžos  (kairė),Petrašiūnai,Komercinė nuoroda: „Šiloporas Statybinių medžiagų parduotuvė“,70-13-1456,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-410,5/1/2018,4/30/2019,Prie Ekskavatorininkų g. ir Energetikų g. sankryžos  (kairė),Petrašiūnai,Komercinė nuoroda: „USTĖ PLIENINĖS STOGŲ DANGOS Ekskavatorininkų g. 1G“,70-13-50,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-411,5/1/2018,4/30/2019,Prie Ekskavatorininkų g. ir Energetikų g. sankryžos  (dešinė),Petrašiūnai,Komercinė nuoroda: „CONSOLIS BETONIKA Surenkamos gelžbetonio konstrukcijos Sandėliai“,70-13-1462,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-412,5/1/2018,4/30/2019,Prie Savanorių pr. ir Kovo 11-osios g. sankryžos,Dainava,Komercinė nuoroda: „pigu.lt Prekių atsiėmimo centras V. Krėvės pr. 49 (PC „Rėda“)“,70-13-260,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-413,5/1/2018,4/30/2019,Prie Savanorių pr. ir Kovo 11-osios g. sankryžos,Dainava,Komercinė nuoroda: „DURŲ IR LANGŲ CENTRAS Savanorių pr. 350 durulangucentras.lt“,70-13-317,"2,74",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-414,5/1/2018,4/30/2019,Prie Savanorių pr. ir Kovo 11-osios g. sankryžos,Dainava,Komercinė nuoroda: „PadangosPlius.lt “,70-13-316,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-415,5/1/2018,4/30/2019,Prie Ateities pl. ir Apasčios g. sankryžos,Amaliai,Komercinė nuoroda: „AGROTEKA“,70-13-240,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-416,5/1/2018,4/30/2019,Prie Ateities pl. ir Apasčios g. sankryžos,Amaliai,Komercinė nuoroda: „Elektrobalt“,70-13-248,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-417,5/1/2018,4/30/2019,Prie Jonavos g. ir Šiaurės pr. sankryža,Eiguliai,Komercinė nuoroda: „AUTIDA AUTOSERVISAS Jonavos g. 260“,70-13-220,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-418,5/1/2018,4/30/2019,"Taikos pr., prie įvažiavimo, netoli pastato Ateities pl. 39",Naujasodis,Komercinė nuoroda: „Visas labas Šildymas Santechnika “,70-13-414,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-419,5/2/2018,5/1/2019,Prie T. Masiulio g. ir Raudonojo Kryžiaus g. sankryžos,Vičiūnai,Komercinė nuoroda: „Iki “,70-13-2034,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-420,5/2/2018,5/1/2019,Prie T. Masiulio g. ir Raudonojo Kryžiaus g. sankryžos,Vičiūnai,Komercinė nuoroda: „Restoranėlis „Sena skrynia“ Pokylių salės Smėlio g. 5 Tel 8 650 24 548“,70-13-995,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-421,5/2/2018,5/1/2019,Prie T. Masiulio g. ir Raudonojo Kryžiaus g. sankryžos,Vičiūnai,Komercinė nuoroda: „DARGITA www.dargita.lt Samylų g. 17“,70-13-1274,"1,37",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-422,5/6/2018,5/5/2019,Prie A. Juozapavičiaus pr. ir Rusų g. sankryžos,Eiguliai,Komercinė nuoroda: „MARGŪNAS Ringuvos g. 53“,70-13-536,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-423,5/4/2018,5/3/2019,"Draugystės g., prie Draugystės g. 17C",Naujasodis,Komercinė nuoroda: „EUROMETAS Automobilių dalys“,70-13-473,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-424,5/4/2018,5/3/2019,Prie H. ir O. Minkovskių g. 87 (netoli M. K. Čiurlionio tilto),Freda,Komercinė nuoroda: „autobroliai AUTOSERVISAS“,70-13-474,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-463,5/21/2018,5/20/2019,Prie Taikos pr. ir J. Basanavičiaus al. sankryžos,Žaliakalnis,Komercinė nuoroda: „Užuolaidų salonas CELESTINA Savanorių pr. 214 “,70-13-436,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-464,5/17/2018,5/16/2019,"Taikos pr., prie sankryžos su Ateities pl.",Naujasodis,Komercinė nuoroda: „Polimeta“,70-13-538,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-465,5/17/2018,5/16/2019,"Taikos pr., prie sankryžos su Ateities pl.",Naujasodis,Komercinė nuoroda: „Termopalas“,70-13-539,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-466,5/19/2018,5/18/2019,"Taikos pr., prie sankryžos su Ateities pl.",Naujasodis,Komercinė nuoroda: „Mimeta“,70-13-647,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-467,5/17/2018,5/16/2019,"Draugystės g., prie Draugystės g. 17C",Naujasodis,Komercinė nuoroda: „Automobilių dažai BODYCAR.LT 8 650 48000 Draugystės g. 17“,70-13-705,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-468,5/17/2018,5/16/2019,Prie Savanorių pr. ir Zanavykų g. sankryžos,Žaliakalnis,Komercinė nuoroda: „ŽaliaKALNIO TURGAVIETĖ ZANAVYKŲ G. 25H“,70-13-706,0.9,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-469,5/17/2018,5/16/2019,Prie Europos pr. ir Veiverių g. sankryžos (netoli degalinės),Birutė,Komercinė nuoroda: „VaRŽTŲ PASAULIS Veiverių g. 139“,70-13-1551,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-470,5/17/2018,5/16/2019,Prie Pramonės pr. ir Chemijos g. sankryžos,Naujasodis,Komercinė nuoroda: „VARŽTŲ PASAULIS Pramonės pr. 23“,70-13-708,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-471,5/17/2018,5/16/2019,Jonavos g. prie sankryžos su Salako g.,Žaliakalnis,Komercinė nuoroda: „VARŽTŲ PASAULIS Jonavos g. 104“,70-13-709,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-472,5/15/2018,5/14/2019,"Taikos pr., netoli pastato Taikos pr. 149",Naujasodis,"Komercinė nuoroda: „RESTAURUOTI SMAGRAČIAI, SANKABOS Sandraugos g. 32 Esaja“",70-13-562,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-473,5/15/2018,5/14/2019,Prie Taikos pr. ir Garažų g. sankryžos,Naujasodis,Komercinė nuoroda: „SENUKAI TRANSPORTAS“,70-13-561,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-475,5/27/2018,5/26/2019,"Prie Pramonės pr., prie įvažiavimo į AB „URMAS“",Naujasodis,Komercinė nuoroda: „Mijola Užuolaidų salonas“,70-13-465,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-476,6/2/2018,6/1/2019,Prie A. Kriščiukaičio g. ir Neries kr. sankryžos,Vilijampolė,Komercinė nuoroda: „ELREMTA Įrankiai profesonalams Neries kr. 16E“,70-13-707,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-477,5/30/2018,5/29/2019,Prie V. Krėvės pr. ir Garažų g. sankryžos,Naujasodis,Komercinė nuoroda: „AUTOAKSTĖ Taikos pr. 139A“,70-13-872,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-478,6/1/2018,5/31/2019,Prie A. Baranausko g. ir Radvilėnų pl. sankryžos,Gričiupis,Komercinė nuoroda: „DŽINSAI Lee Radvilėnų g. 50“,70-13-879,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-479,6/2/2018,6/1/2019,Prie A. Kriščiukaičio g. ir Neries kr. sankryžos,Vilijampolė,Komercinė nuoroda: „ELREMTA Įrankiai profesonalams Neries kr. 16E“,70-13-707,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-480,5/28/2018,5/27/2019,"Prie Savanorių pr. ir Taikos pr. sankryžos, prie pastato Taikos pr. 204A",Vilijampolė,Komercinė nuoroda: „TOPCOLOR DAŽŲ PROFESIONALAI TAIKOS PR. 7“,70-13-1618,1.402,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-500,6/1/2018,6/30/2018,"Islandijos pl., prie įvažiavimo iš magistralės A6 į 1A (Medeinės g. 30)",Eiguliai,Komercinis stendas (komercinė reklama): „MEGA“,70-13-240,75,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-501,6/1/2018,6/30/2018,Ant pastato Taikos pr. 43,Dainava,Komercinis stendas (komercinė reklama): „Krinona“,70-13-1725,72,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-502,6/1/2018,6/30/2018,"Taikos pr. 41,  ant daugiabučio sienos",Dainava,Komercinis stendas (komercinė reklama): „RAVAK“,70-13-1724,72,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-526,6/13/2018,6/12/2019,Prie Taikos pr. ir Garažų g. sankryžos,Naujasodis,Komercinė nuoroda: „Spalvų sala“,70-13-1409,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-527,6/9/2018,6/8/2019,Prie Jotvingių g. ir Kuršių g. sankryžos,Milikoniai,Komercinė nuoroda: „Žaidimų kompiuteriai“,70-13-447,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-528,6/9/2018,6/8/2019,Prie Savanorių pr. ir S. Žukausko g. sankryžos,Eiguliai,Komercinė nuoroda: „PadangosPlius.lt Autoservisas dalys“,70-13-470,1.32,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-529,6/9/2018,6/8/2019,Prie S. Žukausko g. ir P. Lukšio g sankryžos,Eiguliai,Komercinė nuoroda: „PadangosPlius.lt “,70-13-454,2.74,2
