Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
115,733/1,2000-05-17,n,Arvydo Butkaus įmonė,3509852,,,Milikoniai,"kioskas Rasytės g., prie boilerinės Nr. 63","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–24 val.,,,,,,išsinešti
116,733/2,2006-05-09,n,Arvydo Butkaus įmonė,3509852,,,Sargėnai,"specializuotas parduotuvės skyrius, Vandžiogalos g. 26, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
117,915/3,2002-08-07,n,Valentinos Petronienės įmonė,3512381,,,Milikoniai,"alaus baras, Žemaičių pl. 50","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
118,915/4,2002-08-07,n,Valentinos Petronienės įmonė,3512381,,,Gričiupis,"alaus baras, Saulės g. 35D","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
119,880/1,2001-11-01,n,V. Baranausko firma „Sanima“,3512487,,,Gričiupis,"specializuotas parduotuvės skyrius, Pašilės g. 76",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
120,1168,2001-03-01,n,Nijolės Čenienės individuali įmonė ,3513718,,,Dainava,"kioskas, Kovo 11-osios g. 53B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–22 val.,,,,,,išsinešti
121,731/8,2001-07-11,n,UAB „Verus gustus“,3513938,,,Gričiupis,"baras, Draugystės g. 8K",alkoholiniais gėrimais,8–20 val.,,,,,,gerti ten pat ir išsinešti
122,660/1,2001-04-04,n,Jono Grėbliūno įmonė,3515361,,,Žemieji Šančiai,"specializuotas parduotuvės skyrius, Siūlų g. 5",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
123,860/1,2000-11-07,n,Danutės Smetaninos įmonė,3517785,,,Panerys,"baras, Panerių g. 151",alkoholiniais gėrimais,8–1 val.,,,,,,gerti ten pat ir išsinešti
124,1184,2001-03-14,n,Ramūno Jankausko įmonė,3517914,,,Naujasodis,"kioskas AB prekybos bazės „Urmas“ teritorijoje, Pramonės pr. 16","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–17 val.,,,,,,išsinešti
125,1476/1,2003-02-18,n,Rimanto Mickevičiaus įmonė,3519534,,,Veršvai,"kavinė, Raudondvario pl. 117A",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
126,838/1,2002-06-05,n,UAB „Silverta“,3520443,,,Senamiestis,"cukrainė-baras, Vilniaus g. 44","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,gerti ten pat ir išsinešti
127,1279,2001-07-25,n,L. Baranauskienės individuali įmonė ,3520553,,,Dainava,kioskas prie pastato Taikos pr. 113,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,išsinešti
128,1442,2002-09-18,n,M. Grėbliausko firma,3524195,,,Smėliai,"parduotuvė, Baltijos g. 48-1","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,išsinešti
129,1435,2002-08-28,n,UAB „Pakavimo medžiagos“,3524487,,,Eiguliai,"specializuotas parduotuvės skyrius, Žeimenos g. 119",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
130,1531,2003-07-09,n,UAB „Currus“,3524946,,,Naujamiestis,"specializuotas parduotuvės skyrius, Laisvės al. 50A-1",alkoholiniais gėrimais,8–20 val.,,,,,,išsinešti
131,881,1998-12-29,n,Vandos Mažeikienės įmonė,3526824,,,Gričiupis,"paviljonas, Taikos pr., prieš namą Nr. 66","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
132,916,1999-04-07,n,Irenos Grigaliūnienės įmonė,3526862,,,Žemieji Šančiai,"kioskas, A. Juozapavičiaus pr. 21B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–22 val.,,,,,,išsinešti
133,939,1999-05-19,n,A. Adomonio firma,3529436,,,Eiguliai,"kioskas, P. Lukšio g., prie namo Nr. 27","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
134,914,1999-04-07,n,UAB „Mažoji Beatričė“,3530895,,,Naujamiestis,"kavinė-baras, Savanorių pr. 6/8-3",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
135,962/1,2001-02-21,n,G. Zaikausko firma,3547146,,,Senamiestis,"baras, Šv. Gertrūdos g. 12",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
136,951/1,1999-06-23,n,UAB „Erdonas“,3548028,,,Naujamiestis,"kavinė-baras, Laisvės al. 93 / I. Kanto g. 26",alkoholiniais gėrimais,7–2 val.,,,,,,gerti ten pat ir išsinešti
137,1574,2003-11-19,n,A. Cybo firma „Armarta“,3548377,,,Gričiupis,"kavinė-baras, Pašilės g. 37","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–24 val.,,,,,,gerti ten pat ir išsinešti
138,1574/1,2004-07-26,n,A. Cybo firma „Armarta“,3548377,,,Gričiupis,"kavinė-baras, Pašilės g. 37, Kaunas",alkoholiniais gėrimais,11–24 val.,,,,,,gerti ten pat ir išsinešti
139,1053/1,2001-06-01,n,UAB „Suber“,3549282,,,Palemonas,"baras, Palemono g. 171",alkoholiniais gėrimais,8–18 val.,,,,,,gerti ten pat ir išsinešti
140,1017,2000-03-29,n,Audronės Tarutienės firma,3551949,,,Panemunė,"kioskas, Vaidoto g. 133","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
141,463,1999-10-13,n,N. Pažarauskienės įmonė,3552103,,,Naujasodis,"baras, V. Krėvės pr. 120",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
142,1034/4,2002-03-13,n,UAB „Jerubėlė“,3552361,,,Žemieji Šančiai,"valgykla, A. Juozapavičiaus pr. 84","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–16 val.,,,,,,gerti ten pat ir išsinešti
143,1002/1,2003-11-26,n,Vitalijos Preobraženskienės įmonė,3555523,,,Žemieji Šančiai,"kavinė-baras, Ringuvos g. 2 / Sandėlių g. 8",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
144,1001/1,2002-03-06,n,Nijolės Elenos Steponavičienės įmonė,3556075,,,Petrašiūnai,"kioskas, R. Kalantos g. 116A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
145,758,1999-12-28,n,A. Zamblausko įmonė,3556735,,,Žemieji Šančiai,"baras, M. K. Čiurlionio g. 18",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
146,1005,2000-03-19,n,Viešoji įstaiga „Ketvirtoji valdžia“,3556955,,,Naujamiestis,"restoranas, V. Putvinskio g. 48",alkoholiniais gėrimais,9–3 val.,,,,,,gerti ten pat ir išsinešti
147,1000,2000-02-16,n,UAB „Senoji Kauno galera“,3558211,,,Naujamiestis,"kavinė, K. Donelaičio g. 16",alkoholiniais gėrimais,10–20 val.,,,,,,gerti ten pat ir išsinešti
148,1000/1,2003-07-09,n,UAB „Senoji Kauno galera“,3558211,,,Naujamiestis,"baras, V. Putvinskio g. 55",alkoholiniais gėrimais,11–17 val.,,,,,,gerti ten pat ir išsinešti
149,1355,2002-01-16,n,UAB „Edelveisas“ ir Ko,3561711,,,Petrašiūnai,"kavinė, M. Gimbutienės g. 35",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
150,1046/1,2001-01-20,n,A. A. Petraševičiaus firma,3561874,,,Dainava,kioskas prie namo Draugystės g. 1B,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
151,1046/2,2001-12-03,n,A. A. Petraševičiaus firma,3561874,,,Gričiupis,"specializuotas parduotuvės skyrius, Chemijos g. 11-20",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
152,1059/1,2001-11-05,n,M. Černiaus įmonė,3562301,,,Naujamiestis,"kavinė, Laisvės al. 49A",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
153,1321,2001-10-17,n,UAB „Gabvila“,3569359,,,Smėliai,"parduotuvė, Baltijos g. 41B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,išsinešti
154,1225/1,2001-10-01,n,A. Šleževičiaus įmonė,3571852,,,Smėliai,"baras, Baltų pr. 81","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,gerti ten pat ir išsinešti
155,1297,2001-09-01,n,UAB „Matipaula“,3573908,,,Naujamiestis,"kavinė, A. Mickevičiaus g. 9","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–18 val.,,,,,,gerti ten pat ir išsinešti
156,1259/1,2001-06-26,n,Dalios Piliponienės individuali įmonė ,3575566,,,Žaliakalnis,"kavinė-baras, Savanorių pr. 225",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
157,1293,2001-08-18,n,Aurimo Mikniaus įmonė,3576907,,,Milikoniai,"autoparduotuvė, valst. Nr. KZ 990, Žemaičių pl. 66","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,išsinešti
158,1314,2001-09-25,n,UAB „Žaisrega“,3579432,,,Smėliai,"baras, Baltijos g. 112",alkoholiniais gėrimais,8–23 val.,,,,,,gerti ten pat ir išsinešti
159,1384,2002-04-10,n,UAB „Pramogų planeta“,3581295,,,Naujamiestis,"baras laivo „Medusa“ I a., Karaliaus Mindaugo krantinė, prie Aleksoto tilto",alkoholiniais gėrimais,10–4 val.,,,,,,gerti ten pat ir išsinešti
160,1384/1,2002-04-10,n,UAB „Pramogų planeta“,3581295,,,Naujamiestis,"baras laivo „Medusa“ II a., Karaliaus Mindaugo krantinė, prie Aleksoto tilto",alkoholiniais gėrimais,10–4 val.,,,,,,gerti ten pat ir išsinešti
161,1611,2004-04-22,n,UAB Kauno tarptautinis upių uostas,3582454,,,Senamiestis,"kavinė laive „Aitra“, Prieplaukos krantinė, prie pastatoT. Daugirdo g. 2, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat
162,1387/1,2002-06-05,n,UAB „Chestris“,3583647,,,Dainava,"baras, Taikos pr. 5","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
163,1387/2,2004-01-15,n,UAB „Chestris“,3583647,,,Aukštieji Šančiai,"baras, Skuodo g. 40A",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
164,1359/1,2002-04-24,n,Almos Tamulaitytės firma,3584199,,,Smėliai,"kioskas, Žiemgalių g. 3E","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–23 val.,,,,,,išsinešti
165,1383,2002-04-10,n,UAB „Simrina“ ir Ko,3587475,,,Kalniečiai,"specializuotas parduotuvės skyrius, Kalniečių g. 219-108",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
166,1423/1,2002-09-18,n,Rimanto Rusonio įmonė,3591072,,,Eiguliai,"kavinė, Ukmergės g. 22A",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
167,1566,2003-10-22,n,UAB „Spaudos linija“,3591512,,,Marvelė,"baras, Marvelės g. 18",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
168,1433,2002-08-28,n,UAB „Kojotas“,3592083,,,Naujamiestis,"baras, Laisvės al. 54",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
169,1461,2002-11-08,n,UAB „Aukvisė“,3592265,,,Amaliai,"kavinė-baras, Naktigonės g. 3",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
170,1477,2002-12-19,n,Vladimiro Valčiuko įmonė,3592542,,,Naujasodis,"kavinė-baras, pastatas 12E1g, Pramonės pr. 16",alkoholiniais gėrimais,8–19 val.,,,,,,gerti ten pat ir išsinešti
171,1454,2002-11-09,n,UAB „Armonlita“,3593003,,,Gričiupis,"kavinė, Pašilės g. 39A",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
172,1465/1,2002-11-27,n,R. Petraitytės firma,3593606,,,Dainava,paviljonas prieš namą Draugystės g. 1B,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
173,1513,2003-05-08,n,UAB „Sakalūnė“,3598354,,,Milikoniai,"baras, Šarkuvos g. 16-17",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat ir išsinešti
174,1502,2003-04-09,n,Jūratės Vilčinskienės individuali įmonė,3598555,,,Naujasodis,"baras, Rytinės galerijos 19 salė, Pramonės pr. 16(8F1b), Kaunas",alkoholiniais gėrimais,6–17.30 val.,,,,,,gerti ten pat ir išsinešti
175,1502/1,2003-11-26,n,Jūratės Vilčinskienės individuali įmonė,3598555,,,Panemunė,"kavinė-baras, A. Smetonos al. 21 / Birutės g. 34",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat ir išsinešti
176,1562,2003-10-16,n,UAB „Aqua alta“,3602856,,,Žaliakalnis,"specializuotas parduotuvės skyrius, A. Mackevičiaus g. 109",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
177,1599,2004-02-20,n,UAB „Kamilignas“,3605802,,,Gričiupis,paviljonas prie pastato Taikos pr. 66,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
178,1523,2003-06-11,n,UAB „Taura“,4732377,,,Smėliai,"parduotuvė, Baltijos g. 4B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti (alų – ir pilstomą)
179,1432,2002-08-15,n,UAB „Miško čiobrelis“,4759012,,,Naujamiestis,"kavinė, Nepriklausomybės a. 5C",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
180,456/4,2002-11-01,n,Janinos Bazevičienės personalinė įmonė,5266903,,,Gričiupis,"užeiga, Studentų g. 16",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
181,1478,2002-12-19,n,UAB „Armeniukas“,5817147,,,Gričiupis,"firminė parduotuvė, Saulės g. 35C","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti (alų – ir pilstomą)
182,1609,2004-04-15,n,Žilvino Kralikausko įmonė,5898323,,,Naujasodis,"paviljonas, Taikos pr. 135B, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–18 val.,,,,,,išsinešti
183,1553,2003-09-17,n,Rimanto Narinkevičiaus įmonė,5942365,,,Rokai,"kioskas, Rokų g. 17","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
184,1576,2003-11-26,n,Alfonso Rusecko įmonė,5942953,,,Petrašiūnai,paviljonas prie pastato R. Kalantos g. 119,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
185,1576/1,2004-04-02,n,Alfonso Rusecko įmonė,5942953,,,Petrašiūnai,"kioskas prie pastato Armatūrininkų g. 1, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
186,1662,2004-11-23,n,Ilonos Buzienės įmonė,5951586,,,Petrašiūnai,"baras, R. Kalantos g. 48, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
187,233,1997-08-01,n,Valdo Saveikio firma „Salvina“,5956167,,,Rokai,"baras, J. Borutos g. 2",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
188,1354/1,2002-01-16,n,UAB „Savas kampas“,5970379,,,Smėliai,"specializuotas parduotuvės skyrius, Baltijos g. 53A",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
189,339,1997-08-01,n,Edmundo Rimo individuali įmonė,5973048,,,Rokai,"paviljonas, Rokų g. 21","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
190,282,1997-08-01,n,UAB „Įpiltis“,5982091,,,Kazliškiai,"specializuotas parduotuvės skyrius, Pagirėnų g. 2",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
191,1437,2002-08-28,n,UAB „Neveresta“,5985655,,,Palemonas,"paviljonas, Marių g. 36","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–24 val.,,,,,,išsinešti
192,1445,2002-10-01,n,Vandos Veikutienės įmonė,5988176,,,Vaišvydava,"parduotuvė, Rūko g. 13","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
193,844/2,2002-02-06,n,UAB „Raineta“,5997253,,,Aukštieji Šančiai,"kavinė, Verkių g. 48",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
194,1598,2004-02-12,n,Virmantės Bašinskienės įmonė,6028747,,,Aleksotas,"kioskas, Veiverių g. 47B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–15 val.,,,,,,išsinešti
195,1249,2001-06-06,n,UAB „Sopija“,6028751,,,Palemonas,"kavinė-baras, Ateities pl. 34",alkoholiniais gėrimais,7–2 val.,,,,,,gerti ten pat ir išsinešti
196,1616,2004-04-29,n,UAB „Ginkris“,6045283,,,Žaliakalnis,"specializuotas parduotuvės skyrius, Zanavykų g. 25E, Kaunas",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
197,1097,2000-12-13,n,UAB „Okseta“,6141051,,,Eiguliai,"parduotuvė, Statybininkų g. 3A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
198,1464,2002-11-21,n,D. Radzevičienės įmonė,6160265,,,Dainava,"kavinė-baras, V. Krėvės pr. 57",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
199,1463,2002-11-21,n,UAB „Senasis kubilas“,7074345,,,Panemunė,"baras, Smetonos al. 21 / Birutės g. 34 ",alkoholiniais gėrimais,8–23 val.,,,,,,gerti ten pat ir išsinešti
200,507,1997-09-24,n,Kauno Tado Ivanausko zoologijos muziejus,8872749,,,Naujamiestis,"baras „Šikšnosparnis“, Laisvės al. 106",alkoholiniais gėrimais,8–20 val.,,,,,,gerti ten pat ir išsinešti
201,1375,2002-03-20,n,UAB „Palink“,110193723,,,Aukštieji Šančiai,"specializuotas parduotuvės skyrius, Medvėgalio g. 23A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
202,1375/1,2002-03-21,n,UAB „Palink“,110193723,,,Milikoniai,"specializuotas parduotuvės skyrius, Rietavo g. 11",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
203,1375/2,2002-10-15,n,UAB „Palink“,110193723,,,Dainava,"specializuotas parduotuvės skyrius, Kovo 11-osios g. 67",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
204,1375/3,2002-11-09,n,UAB „Palink“,110193723,,,Gričiupis,"specializuotas parduotuvės skyrius, Saulės g. 55",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
205,1375/4,2003-05-29,n,UAB „Palink“,110193723,,,Vilijampolė,"specializuotas parduotuvės skyrius, Varnių g. 38A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
206,1375/5,2003-05-29,n,UAB „Palink“,110193723,,,Smėliai,"specializuotas parduotuvės skyrius, Žemaičių pl. 23",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
207,1375/6,2003-05-29,n,UAB „Palink“,110193723,,,Gričiupis,"specializuotas parduotuvės skyrius, Kovo 11-osios g. 22",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
208,1375/7,2003-05-29,n,UAB „Palink“,110193723,,,Milikoniai,"specializuotas parduotuvės skyrius, Kuršių g. 44",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
209,1375/8,2003-05-29,n,UAB „Palink“,110193723,,,Senamiestis,"specializuotas parduotuvės skyrius, Jonavos g. 3",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
210,1375/9,2003-05-29,n,UAB „Palink“,110193723,,,Kazliškiai,"specializuotas parduotuvės skyrius, Veiverių g. 150",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
211,1375/10,2003-05-29,n,UAB „Palink“,110193723,,,Žaliakalnis,"specializuotas parduotuvės skyrius, Savanorių pr. 111",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
212,1375/11,2003-05-29,n,UAB „Palink“,110193723,,,Eiguliai,"specializuotas parduotuvės skyrius, Šiaurės pr. 91",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
213,1375/12,2003-05-29,n,UAB „Palink“,110193723,,,Eiguliai,"specializuotas parduotuvės skyrius, P. Lukšio g. 60",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
214,1375/13,2004-02-02,n,UAB „Palink“,110193723,,,Veršvai,"specializuotas parduotuvės skyrius, Raudondvario pl. 166",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
215,1375/14,2005-11-23,n,UAB „Palink“,110193723,,,Smėliai,"specializuotas parduotuvės skyrius, Baltų pr. 81, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
